Initiative Name,Initiative Type,Country,Lead Organization,Budget (USD million),Start Year,Targeted Completion Year,Expected Impact,Actual Impact,Number of Jobs Created,Funding Source,Public Awareness Level (%),Technology Used,Geographical Coverage (sq km),Annual Progress Report,Community Engagement Level (%),Policy Alignment,Emission Reduction per Year (tonnes),Renewable Energy Capacity Added (MW),Green Infrastructure Developed (km)
Clean Transportation Initiative in Brazil #526,Clean Transportation Initiative,Brazil,Green Earth Alliance,1315,2023,2033,0.11,0.69,53699,International Aid,84,None,121727,yes,81,International,268158,12481,417
Clean Transportation Initiative in Japan #527,Clean Transportation Initiative,Japan,Eco Warriors,773,2018,2033,0.65,0.52,85898,Private Sector,95,Solar,95696,yes,64,International,1076834,17722,910
Clean Transportation Initiative in China #528,Clean Transportation Initiative,China,Green Growth Initiative,1679,2014,2024,0.21,0.98,84855,Government,57,Bioenergy,167116,no,92,International,479953,41499,50
Reforestation Initiative in France #529,Reforestation Initiative,France,Earth Guardians,1991,2020,2030,0.16,0.54,35795,Private Sector,54,Bioenergy,120553,no,50,National,726790,26347,889
Green Infrastructure Development in Brazil #530,Green Infrastructure Development,Brazil,Earth Guardians,1626,2010,2015,0.09,0.41,64808,Private Sector,60,Geothermal,37390,no,96,National,1024041,46780,711
Water Conservation Project in China #531,Water Conservation Project,China,Eco Innovation Lab,1789,2019,2033,0.14,1,48224,Government,55,Bioenergy,496291,yes,78,National,1383616,21362,629
Emission Control Program in Australia #532,Emission Control Program,Australia,Sustainable Future Org,961,2018,2030,0.39,0.79,42349,Government,61,Solar,260165,yes,81,National,347793,34333,260
Sustainable Agriculture Program in Japan #533,Sustainable Agriculture Program,Japan,Climate Action Network,784,2018,2029,0.11,0.06,39972,Private Sector,70,Geothermal,378417,no,72,International,1688346,14401,322
Reforestation Initiative in China #534,Reforestation Initiative,China,Zero Emissions Initiative,1161,2020,2025,0.53,0.73,97258,Private Sector,70,Wind,444569,yes,80,International,1142348,25944,871
Green Infrastructure Development in Canada #535,Green Infrastructure Development,Canada,Climate Action Network,1261,2022,2034,0.58,0.99,84366,International Aid,85,Solar,211673,yes,81,International,1713034,20032,649
Water Conservation Project in Germany #536,Water Conservation Project,Germany,Climate Action Network,599,2024,2031,0.6,0.86,32000,International Aid,76,Bioenergy,37657,yes,71,National,1629990,28364,520
Green Infrastructure Development in Australia #537,Green Infrastructure Development,Australia,Eco Innovation Lab,742,2013,2021,0.87,0.11,41068,Private Sector,63,Wind,324142,yes,64,National,46421,44125,376
Emission Control Program in Canada #538,Emission Control Program,Canada,Earth Guardians,352,2023,2034,0.4,0.69,82547,International Aid,79,Bioenergy,179269,no,61,National,787612,6412,279
Emission Control Program in UK #539,Emission Control Program,UK,Eco Warriors,301,2024,2033,0.79,0.19,95124,Private Sector,94,Geothermal,499601,no,60,National,914429,43655,80
Green Infrastructure Development in USA #540,Green Infrastructure Development,USA,Climate Action Network,1515,2023,2037,0.54,0.74,85438,International Aid,72,Bioenergy,295766,yes,54,National,226223,40057,798
Emission Control Program in Germany #541,Emission Control Program,Germany,Zero Emissions Initiative,458,2025,2032,0.92,0.12,1239,International Aid,85,Bioenergy,440746,yes,83,National,323660,38569,659
Green Infrastructure Development in India #542,Green Infrastructure Development,India,Global Renewable Group,421,2025,2036,0.55,0.96,53891,International Aid,100,Wind,397103,yes,90,National,1220791,1153,420
Renewable Energy Project in Japan #543,Renewable Energy Project,Japan,Clean Energy Foundation,1675,2015,2020,0.39,0.81,87133,International Aid,50,Wind,203667,yes,86,National,165736,17539,787
Sustainable Agriculture Program in Japan #544,Sustainable Agriculture Program,Japan,Eco Innovation Lab,90,2013,2021,0.44,0.23,99650,Government,98,Geothermal,375168,yes,86,National,914261,14716,685
Climate Education Program in USA #545,Climate Education Program,USA,Earth Guardians,1096,2012,2020,1,0.89,91837,Government,98,Geothermal,120070,yes,52,International,810051,34768,656
Emission Control Program in Japan #546,Emission Control Program,Japan,Clean Energy Foundation,1875,2021,2034,0.18,0.39,21158,International Aid,98,Bioenergy,491443,yes,95,International,1255256,3134,120
Clean Transportation Initiative in Brazil #547,Clean Transportation Initiative,Brazil,Green Growth Initiative,100,2014,2019,0.16,0.49,13886,Private Sector,92,Solar,263793,yes,88,National,999472,15987,516
Waste Management Plan in Brazil #548,Waste Management Plan,Brazil,Sustainable Future Org,1817,2019,2026,0.25,0.69,92490,International Aid,54,Solar,59770,yes,68,International,1324425,26972,830
Emission Control Program in Germany #549,Emission Control Program,Germany,Earth Guardians,696,2021,2029,0.51,0.1,41443,International Aid,94,Solar,34688,no,80,National,1925729,6363,501
Waste Management Plan in China #550,Waste Management Plan,China,Global Renewable Group,215,2019,2034,0.29,0.09,54001,Private Sector,63,None,213238,yes,85,International,1079489,43790,12
Clean Transportation Initiative in Japan #551,Clean Transportation Initiative,Japan,Clean Energy Foundation,1958,2013,2022,0.47,0.07,59554,Private Sector,60,Hydropower,343620,no,73,National,433257,29549,827
Reforestation Initiative in India #552,Reforestation Initiative,India,Climate Action Network,1882,2013,2021,0.09,0.13,87845,Government,58,Geothermal,275340,no,86,National,1607929,9773,11
Renewable Energy Project in China #553,Renewable Energy Project,China,Zero Emissions Initiative,73,2021,2026,0.73,0.84,2116,International Aid,97,None,470030,yes,50,International,1447584,2518,411
Clean Transportation Initiative in India #554,Clean Transportation Initiative,India,Global Renewable Group,1048,2020,2029,0.55,0.97,99810,International Aid,52,Bioenergy,249686,no,59,International,202668,15261,337
Energy Efficiency Campaign in USA #555,Energy Efficiency Campaign,USA,Eco Warriors,854,2020,2031,0.5,0.6,4576,Private Sector,89,Geothermal,171400,no,70,International,1003734,22198,709
Reforestation Initiative in India #556,Reforestation Initiative,India,Eco Innovation Lab,1114,2020,2035,0.18,0.75,12895,Private Sector,77,None,471258,yes,95,National,876902,16924,663
Water Conservation Project in Brazil #557,Water Conservation Project,Brazil,Zero Emissions Initiative,570,2017,2032,0.81,0.95,65930,International Aid,54,Geothermal,58578,yes,84,National,766462,5961,673
Clean Transportation Initiative in Japan #558,Clean Transportation Initiative,Japan,Sustainable Future Org,1389,2013,2023,0.9,0.95,31612,Government,77,Wind,6906,no,81,National,975728,2981,390
Climate Education Program in Brazil #559,Climate Education Program,Brazil,Green Earth Alliance,1914,2022,2033,0.75,0.16,59402,International Aid,89,Wind,59107,yes,52,National,363962,7433,926
Green Infrastructure Development in USA #560,Green Infrastructure Development,USA,Earth Guardians,946,2017,2029,0.39,0.92,44526,Private Sector,72,Geothermal,268583,yes,54,International,1063614,23403,435
Sustainable Agriculture Program in Brazil #561,Sustainable Agriculture Program,Brazil,Climate Action Network,1825,2020,2030,0.42,0.68,28902,Private Sector,96,Geothermal,38902,no,60,National,1137544,33507,494
Reforestation Initiative in Canada #562,Reforestation Initiative,Canada,Sustainable Future Org,1020,2015,2026,0.13,0.88,62751,International Aid,77,Geothermal,293505,yes,80,International,813898,23784,915
Climate Education Program in Japan #563,Climate Education Program,Japan,Green Growth Initiative,1481,2018,2027,0.94,0.78,83519,Private Sector,62,Bioenergy,415216,yes,58,International,1178949,6908,675
Clean Transportation Initiative in China #564,Clean Transportation Initiative,China,Clean Energy Foundation,789,2025,2038,0.93,0.38,80681,Private Sector,55,Hydropower,243480,yes,96,International,823264,41126,637
Clean Transportation Initiative in India #565,Clean Transportation Initiative,India,Sustainable Future Org,1991,2022,2028,0.15,0.48,38759,Private Sector,67,Bioenergy,98289,no,50,International,1788974,5865,813
Waste Management Plan in Germany #566,Waste Management Plan,Germany,Green Growth Initiative,1190,2016,2022,0.07,0.96,36467,Government,89,Hydropower,375410,no,65,National,368130,38571,146
Climate Education Program in Germany #567,Climate Education Program,Germany,Green Growth Initiative,874,2018,2032,0.24,0.94,36464,International Aid,87,None,201544,no,58,National,1537290,30463,584
Renewable Energy Project in Canada #568,Renewable Energy Project,Canada,Zero Emissions Initiative,1764,2014,2029,0.14,0.33,98002,International Aid,61,None,332382,yes,71,National,1544639,21437,30
Climate Education Program in China #569,Climate Education Program,China,Eco Innovation Lab,420,2014,2028,0.95,0.64,65702,Government,63,Wind,308967,yes,62,National,40560,40389,453
Climate Education Program in Australia #570,Climate Education Program,Australia,Eco Warriors,485,2012,2027,0.21,0.98,72476,Private Sector,73,Hydropower,328954,no,55,National,1784867,1164,306
Renewable Energy Project in USA #571,Renewable Energy Project,USA,Earth Guardians,1456,2025,2032,0.66,0.99,33177,International Aid,67,Bioenergy,382097,yes,59,International,1880877,21691,38
Sustainable Agriculture Program in Australia #572,Sustainable Agriculture Program,Australia,Clean Energy Foundation,407,2018,2031,0.8,0.66,12409,International Aid,93,None,350839,no,65,National,1665823,36212,16
Water Conservation Project in Brazil #573,Water Conservation Project,Brazil,Clean Energy Foundation,1475,2020,2033,0.11,0.59,92115,Private Sector,65,Geothermal,140873,yes,67,National,1555341,23027,401
Reforestation Initiative in UK #574,Reforestation Initiative,UK,Earth Guardians,1502,2020,2034,0.14,0.37,92755,Government,88,Solar,435778,yes,54,National,509879,18787,310
Sustainable Agriculture Program in Japan #575,Sustainable Agriculture Program,Japan,Clean Energy Foundation,1393,2021,2036,0.98,0.91,82998,Government,100,Wind,37884,no,92,International,1187326,18186,708
Water Conservation Project in USA #576,Water Conservation Project,USA,Clean Energy Foundation,1366,2013,2021,0.27,0.21,13603,Government,74,Geothermal,278541,no,50,National,857273,16023,911
Climate Education Program in Brazil #577,Climate Education Program,Brazil,Clean Energy Foundation,721,2020,2032,0.24,0.54,56052,Government,64,Bioenergy,373632,no,68,National,1251515,37429,265
Sustainable Agriculture Program in France #578,Sustainable Agriculture Program,France,Earth Guardians,1263,2011,2017,0.93,0.67,74014,Government,60,Hydropower,39988,yes,98,International,1842493,3528,959
Waste Management Plan in Canada #579,Waste Management Plan,Canada,Eco Warriors,1727,2013,2019,0.1,0.18,77137,International Aid,57,Hydropower,41173,yes,62,National,131547,15120,625
Emission Control Program in India #580,Emission Control Program,India,Zero Emissions Initiative,1041,2021,2032,0.28,0.58,53212,International Aid,52,Wind,323546,no,50,National,1994591,36405,252
Renewable Energy Project in Japan #581,Renewable Energy Project,Japan,Earth Guardians,1647,2018,2023,0.9,0.85,89233,Government,61,Wind,87631,yes,64,National,961557,47485,893
Waste Management Plan in Brazil #582,Waste Management Plan,Brazil,Zero Emissions Initiative,1207,2010,2020,0.25,0.37,95543,Private Sector,86,Bioenergy,490600,yes,90,International,1554404,23932,327
Renewable Energy Project in Germany #583,Renewable Energy Project,Germany,Climate Action Network,1650,2020,2029,0.77,0.34,40922,Private Sector,68,None,144698,no,88,National,359476,19738,996
Green Infrastructure Development in Japan #584,Green Infrastructure Development,Japan,Earth Guardians,786,2015,2025,0.23,0.3,78228,Private Sector,96,Wind,364244,yes,55,National,405803,11038,832
Climate Education Program in Japan #585,Climate Education Program,Japan,Zero Emissions Initiative,1441,2024,2039,0.47,0.45,42728,International Aid,77,Hydropower,18649,no,95,International,87459,24051,936
Renewable Energy Project in Australia #586,Renewable Energy Project,Australia,Green Earth Alliance,60,2015,2022,0.37,0.73,12727,Private Sector,67,Bioenergy,464022,no,86,International,1167833,23710,49
Green Infrastructure Development in Japan #587,Green Infrastructure Development,Japan,Eco Warriors,337,2014,2023,0.29,1,69505,International Aid,95,Geothermal,403386,no,91,National,1712739,30788,803
Energy Efficiency Campaign in Japan #588,Energy Efficiency Campaign,Japan,Sustainable Future Org,1352,2017,2030,0.62,0.32,31203,International Aid,85,Wind,489821,no,94,International,976002,723,254
Energy Efficiency Campaign in Australia #589,Energy Efficiency Campaign,Australia,Sustainable Future Org,620,2018,2029,0.49,0.33,50667,International Aid,68,None,64155,no,80,International,747050,7055,760
Sustainable Agriculture Program in India #590,Sustainable Agriculture Program,India,Green Earth Alliance,1757,2010,2015,0.05,0.33,96426,International Aid,74,Geothermal,376418,no,86,International,1468537,28990,349
Water Conservation Project in Germany #591,Water Conservation Project,Germany,Global Renewable Group,906,2024,2033,0.26,0.86,41888,Private Sector,64,None,145428,no,51,National,1272282,26719,932
Renewable Energy Project in Canada #592,Renewable Energy Project,Canada,Global Renewable Group,939,2010,2018,0.86,0.83,64125,Government,61,None,154850,yes,86,International,1750825,49113,42
Reforestation Initiative in Brazil #593,Reforestation Initiative,Brazil,Eco Innovation Lab,971,2024,2035,0.07,0.12,87958,Government,88,Hydropower,456623,no,66,National,1223986,20458,428
Waste Management Plan in India #594,Waste Management Plan,India,Earth Guardians,1772,2013,2022,0.83,0.91,22277,Government,50,Solar,242229,yes,92,National,406179,23812,796
Emission Control Program in Germany #595,Emission Control Program,Germany,Zero Emissions Initiative,546,2016,2022,0.47,0.33,39842,Private Sector,72,Hydropower,461702,no,78,International,841360,36043,150
Water Conservation Project in India #596,Water Conservation Project,India,Green Earth Alliance,527,2018,2031,0.5,0.45,85937,International Aid,67,Hydropower,97596,no,54,National,1453086,4242,25
Waste Management Plan in Germany #597,Waste Management Plan,Germany,Sustainable Future Org,877,2023,2031,0.63,0.61,54006,Government,91,Geothermal,209210,yes,54,International,1547966,26164,53
Renewable Energy Project in China #598,Renewable Energy Project,China,Zero Emissions Initiative,240,2020,2027,0.16,0.9,55317,International Aid,51,Hydropower,203360,no,90,National,140519,6399,965
Clean Transportation Initiative in USA #599,Clean Transportation Initiative,USA,Green Earth Alliance,1771,2012,2027,0.79,0.19,92120,International Aid,59,None,49837,no,87,International,1054187,11136,758
Waste Management Plan in Australia #600,Waste Management Plan,Australia,Sustainable Future Org,449,2023,2029,0.51,0.34,81196,International Aid,50,Solar,188488,yes,89,National,344078,12120,576
Energy Efficiency Campaign in Australia #601,Energy Efficiency Campaign,Australia,Zero Emissions Initiative,127,2017,2028,0.44,0.16,7970,Government,78,Solar,236721,yes,89,International,868828,30911,674
Waste Management Plan in Japan #602,Waste Management Plan,Japan,Earth Guardians,1427,2013,2020,0.43,0.12,87824,International Aid,84,None,46654,yes,94,National,409552,16956,49
Emission Control Program in China #603,Emission Control Program,China,Eco Warriors,784,2013,2023,0.97,0.07,50027,International Aid,88,Solar,297521,no,89,International,725403,25653,15
Clean Transportation Initiative in Germany #604,Clean Transportation Initiative,Germany,Eco Warriors,177,2014,2029,0.1,0.42,89207,International Aid,87,Solar,37855,no,57,National,1125836,8391,442
Renewable Energy Project in Canada #605,Renewable Energy Project,Canada,Global Renewable Group,1229,2017,2031,0.27,0.87,60608,Private Sector,69,None,344306,no,71,National,800731,21920,85
Energy Efficiency Campaign in USA #606,Energy Efficiency Campaign,USA,Eco Innovation Lab,225,2022,2027,0.13,0.29,2188,International Aid,70,Geothermal,352557,yes,66,International,1927662,46476,500
Clean Transportation Initiative in Brazil #607,Clean Transportation Initiative,Brazil,Earth Guardians,1458,2017,2031,0.8,0.31,47054,Private Sector,65,None,213803,yes,68,National,273252,44786,551
Renewable Energy Project in Japan #608,Renewable Energy Project,Japan,Eco Innovation Lab,1622,2011,2025,0.7,0.83,29793,Private Sector,63,Solar,300886,yes,54,National,784337,37329,540
Green Infrastructure Development in Canada #609,Green Infrastructure Development,Canada,Earth Guardians,1389,2017,2024,1,0.94,36721,International Aid,55,Hydropower,221758,yes,54,International,664656,32275,166
Climate Education Program in UK #610,Climate Education Program,UK,Clean Energy Foundation,1591,2017,2023,0.96,0.64,74978,Private Sector,100,Wind,387886,no,90,International,1614740,48018,590
Water Conservation Project in Canada #611,Water Conservation Project,Canada,Green Earth Alliance,391,2014,2021,0.67,0.72,89742,Government,55,Geothermal,13663,no,83,National,1185503,7438,46
Waste Management Plan in Australia #612,Waste Management Plan,Australia,Eco Warriors,644,2016,2031,0.59,0.63,21166,Private Sector,67,Hydropower,86281,yes,66,International,1357825,43570,685
Climate Education Program in Germany #613,Climate Education Program,Germany,Climate Action Network,269,2021,2032,1,0.6,13306,Private Sector,89,Hydropower,370694,no,69,National,454041,43509,116
Reforestation Initiative in Canada #614,Reforestation Initiative,Canada,Clean Energy Foundation,1872,2018,2024,0.93,0.62,16739,Government,99,Geothermal,394408,no,53,National,1681510,25157,677
Reforestation Initiative in UK #615,Reforestation Initiative,UK,Eco Innovation Lab,1252,2024,2039,0.89,0.19,27088,Private Sector,95,Solar,99384,no,93,International,1178394,30653,426
Emission Control Program in Germany #616,Emission Control Program,Germany,Sustainable Future Org,1008,2022,2034,0.9,0.17,73089,Private Sector,89,Solar,325774,no,93,International,1183243,25242,246
Sustainable Agriculture Program in UK #617,Sustainable Agriculture Program,UK,Sustainable Future Org,1668,2022,2037,0.18,0.75,44139,Government,50,Geothermal,366411,no,90,National,1327892,35995,70
Reforestation Initiative in Japan #618,Reforestation Initiative,Japan,Eco Warriors,287,2018,2029,0.75,0.47,61380,Government,82,Hydropower,424387,no,83,National,986409,27500,516
Sustainable Agriculture Program in Canada #619,Sustainable Agriculture Program,Canada,Clean Energy Foundation,1615,2010,2023,0.79,0.63,86394,International Aid,85,Wind,41397,no,91,National,1007899,41145,87
Climate Education Program in Japan #620,Climate Education Program,Japan,Green Growth Initiative,1655,2010,2018,0.22,0.54,75168,Private Sector,64,Wind,320681,no,82,International,677278,46348,929
Emission Control Program in Japan #621,Emission Control Program,Japan,Eco Innovation Lab,1074,2022,2036,0.09,0.65,83645,Private Sector,70,None,292420,yes,98,National,1058199,38520,148
Green Infrastructure Development in UK #622,Green Infrastructure Development,UK,Sustainable Future Org,1030,2016,2023,0.76,0.38,33227,Private Sector,56,Wind,258840,yes,81,International,1096844,36304,531
Climate Education Program in Brazil #623,Climate Education Program,Brazil,Green Growth Initiative,1207,2020,2032,0.19,0.48,28366,Private Sector,61,None,464617,no,92,International,1604446,10478,874
Reforestation Initiative in India #624,Reforestation Initiative,India,Earth Guardians,1123,2021,2036,0.24,0.64,90255,Government,89,Wind,363291,no,71,National,1100305,49995,981
Green Infrastructure Development in Brazil #625,Green Infrastructure Development,Brazil,Earth Guardians,503,2018,2027,0.55,0.92,75057,Private Sector,50,Wind,186370,no,98,International,1432668,7426,948
Emission Control Program in Australia #626,Emission Control Program,Australia,Climate Action Network,569,2023,2035,0.75,0.21,72861,Private Sector,84,Bioenergy,319602,yes,56,National,1312356,31275,218
Reforestation Initiative in Australia #627,Reforestation Initiative,Australia,Eco Warriors,605,2020,2035,0.31,0.88,56111,Government,68,Hydropower,29709,yes,53,International,477436,24663,380
Sustainable Agriculture Program in Germany #628,Sustainable Agriculture Program,Germany,Eco Warriors,1888,2024,2035,0.06,0.92,78885,Government,71,None,155688,yes,100,International,1089143,18687,102
Emission Control Program in India #629,Emission Control Program,India,Green Earth Alliance,1097,2020,2027,0.18,0.55,87913,Private Sector,97,None,445002,yes,83,National,173351,23741,110
Renewable Energy Project in Japan #630,Renewable Energy Project,Japan,Eco Warriors,706,2013,2019,0.96,0.76,49159,Private Sector,55,None,324320,yes,61,National,105477,13000,100
Water Conservation Project in Germany #631,Water Conservation Project,Germany,Clean Energy Foundation,648,2023,2034,0.45,0.23,48972,Private Sector,52,Wind,98702,no,90,National,1391814,5737,578
Green Infrastructure Development in China #632,Green Infrastructure Development,China,Global Renewable Group,1511,2023,2033,0.47,0.37,36321,Private Sector,67,Hydropower,87450,no,55,National,1448644,37363,147
Renewable Energy Project in USA #633,Renewable Energy Project,USA,Green Growth Initiative,1955,2023,2035,0.17,0.94,69840,Government,91,Geothermal,359229,yes,99,International,1829428,14775,655
Reforestation Initiative in UK #634,Reforestation Initiative,UK,Green Growth Initiative,1841,2021,2035,0.76,0.92,47294,Private Sector,65,Bioenergy,281882,yes,58,National,1420779,5782,21
Emission Control Program in Canada #635,Emission Control Program,Canada,Sustainable Future Org,567,2024,2032,0.15,0.29,60940,International Aid,66,Wind,366371,yes,72,National,383378,38837,858
Reforestation Initiative in Germany #636,Reforestation Initiative,Germany,Green Earth Alliance,816,2011,2026,0.57,0.56,4890,Government,55,Geothermal,467810,yes,83,International,1252435,40652,934
Renewable Energy Project in Japan #637,Renewable Energy Project,Japan,Eco Warriors,1203,2012,2017,0.43,0.85,24945,Government,86,Hydropower,232765,no,55,International,1935905,43480,513
Sustainable Agriculture Program in UK #638,Sustainable Agriculture Program,UK,Green Growth Initiative,1187,2014,2020,0.49,0.65,99168,Government,57,Bioenergy,462175,no,60,International,1706337,22940,929
Waste Management Plan in Japan #639,Waste Management Plan,Japan,Earth Guardians,1593,2016,2024,0.74,0.34,15405,Government,51,Hydropower,86676,no,52,International,770756,21697,857
Waste Management Plan in India #640,Waste Management Plan,India,Eco Warriors,1945,2018,2025,0.86,0.36,6440,Private Sector,76,Geothermal,154222,no,74,National,268893,12217,361
Water Conservation Project in Brazil #641,Water Conservation Project,Brazil,Green Growth Initiative,1065,2024,2033,0.71,0.23,28418,Private Sector,54,Solar,483731,no,87,National,1170204,45149,641
Climate Education Program in France #642,Climate Education Program,France,Global Renewable Group,1461,2011,2024,0.72,0.4,29099,International Aid,69,Geothermal,241500,no,59,National,424285,17892,887
Climate Education Program in Japan #643,Climate Education Program,Japan,Eco Innovation Lab,718,2017,2029,0.51,1,77565,Government,64,Bioenergy,256461,no,95,National,1089260,1832,648
Renewable Energy Project in UK #644,Renewable Energy Project,UK,Climate Action Network,593,2014,2022,0.75,0.41,42191,Private Sector,64,Bioenergy,261175,no,92,International,604830,21627,919
Climate Education Program in France #645,Climate Education Program,France,Eco Warriors,1380,2010,2016,0.81,0.41,23993,Private Sector,86,Bioenergy,68363,yes,59,National,1434801,27352,120
Reforestation Initiative in Brazil #646,Reforestation Initiative,Brazil,Zero Emissions Initiative,841,2023,2036,0.92,0.27,31250,Government,52,Solar,468254,no,95,International,1375084,13224,836
Sustainable Agriculture Program in UK #647,Sustainable Agriculture Program,UK,Eco Warriors,727,2020,2025,0.58,0.92,79673,Private Sector,55,Bioenergy,167714,yes,72,International,1376621,11852,581
Climate Education Program in Australia #648,Climate Education Program,Australia,Climate Action Network,1322,2018,2030,0.31,0.77,83938,International Aid,84,None,196877,no,75,International,349080,18241,465
Clean Transportation Initiative in UK #649,Clean Transportation Initiative,UK,Green Earth Alliance,750,2017,2026,0.5,0.8,32194,International Aid,68,Wind,335365,no,76,International,1869249,36283,904
Renewable Energy Project in Japan #650,Renewable Energy Project,Japan,Clean Energy Foundation,1840,2021,2026,0.62,0.81,61553,Government,72,Solar,310518,yes,89,International,1908648,27140,50
Emission Control Program in China #651,Emission Control Program,China,Global Renewable Group,1235,2018,2032,0.63,0.17,69022,Private Sector,98,Hydropower,42683,no,96,International,883277,48126,135
Energy Efficiency Campaign in Canada #652,Energy Efficiency Campaign,Canada,Sustainable Future Org,1959,2013,2026,0.8,0.6,39123,Government,68,Wind,328842,yes,69,National,1922564,40940,981
Emission Control Program in USA #653,Emission Control Program,USA,Green Growth Initiative,1303,2021,2036,0.61,0.33,69493,Government,71,None,103288,no,61,National,1002620,39410,348
Energy Efficiency Campaign in Brazil #654,Energy Efficiency Campaign,Brazil,Earth Guardians,585,2020,2034,0.81,0.4,69628,Private Sector,88,Solar,312917,no,99,National,1264715,45173,936
Emission Control Program in Australia #655,Emission Control Program,Australia,Earth Guardians,1432,2011,2022,0.72,0.31,29345,Private Sector,98,Hydropower,7198,yes,66,National,896681,2141,380
Energy Efficiency Campaign in Germany #656,Energy Efficiency Campaign,Germany,Earth Guardians,542,2016,2028,0.23,0.36,93580,Private Sector,90,Bioenergy,207136,yes,78,International,152837,11790,423
Green Infrastructure Development in Australia #657,Green Infrastructure Development,Australia,Eco Warriors,484,2018,2028,0.57,0.12,40273,Government,53,Wind,351072,no,61,National,1973719,48880,760
Climate Education Program in Brazil #658,Climate Education Program,Brazil,Global Renewable Group,376,2017,2026,0.05,0.64,93585,Government,60,Bioenergy,465617,no,50,International,136972,27917,9
Climate Education Program in China #659,Climate Education Program,China,Green Growth Initiative,711,2013,2026,0.53,1,71423,Private Sector,87,Geothermal,342811,no,100,International,1268783,32781,511
Clean Transportation Initiative in France #660,Clean Transportation Initiative,France,Eco Innovation Lab,237,2019,2033,0.88,0.4,33173,Private Sector,76,Bioenergy,272351,no,69,National,21531,3097,884
Green Infrastructure Development in USA #661,Green Infrastructure Development,USA,Clean Energy Foundation,1741,2024,2035,0.51,0.8,37637,International Aid,56,Wind,205788,yes,50,National,1007846,42906,261
Emission Control Program in China #662,Emission Control Program,China,Green Earth Alliance,1356,2010,2016,0.13,0.66,27621,Government,63,Solar,412566,yes,98,International,902334,9225,658
Climate Education Program in Brazil #663,Climate Education Program,Brazil,Eco Innovation Lab,1711,2022,2030,1,0.81,44483,Government,71,Wind,459703,no,70,International,1885974,36905,745
Water Conservation Project in USA #664,Water Conservation Project,USA,Global Renewable Group,735,2025,2032,0.1,0.39,88021,Private Sector,68,Solar,218429,yes,88,International,1243054,23992,884
Green Infrastructure Development in USA #665,Green Infrastructure Development,USA,Eco Innovation Lab,775,2022,2032,0.27,0.99,35155,International Aid,66,Wind,288787,no,90,National,1014364,27618,677
Water Conservation Project in UK #666,Water Conservation Project,UK,Global Renewable Group,1513,2023,2035,0.55,0.35,10686,International Aid,66,Bioenergy,396604,yes,69,International,528669,5519,563
Green Infrastructure Development in China #667,Green Infrastructure Development,China,Global Renewable Group,183,2016,2025,0.5,0.1,74888,Private Sector,54,Bioenergy,144234,yes,68,National,517635,32664,229
Clean Transportation Initiative in USA #668,Clean Transportation Initiative,USA,Earth Guardians,1425,2012,2019,0.09,0.21,8714,Private Sector,68,Wind,25042,yes,83,National,820304,48188,707
Water Conservation Project in France #669,Water Conservation Project,France,Sustainable Future Org,1212,2021,2032,0.35,0.36,9229,Private Sector,98,Geothermal,328463,no,64,National,1762014,34008,194
Reforestation Initiative in India #670,Reforestation Initiative,India,Green Growth Initiative,1739,2010,2020,0.25,0.58,59068,International Aid,60,Wind,79760,yes,82,International,256072,35324,716
Emission Control Program in India #671,Emission Control Program,India,Global Renewable Group,855,2021,2026,0.97,0.06,69017,Government,71,Wind,46004,no,63,National,1398545,20188,727
Green Infrastructure Development in Brazil #672,Green Infrastructure Development,Brazil,Sustainable Future Org,360,2021,2032,0.78,0.66,65395,International Aid,99,Bioenergy,350586,yes,86,International,1802903,1479,293
Energy Efficiency Campaign in Canada #673,Energy Efficiency Campaign,Canada,Eco Warriors,521,2013,2020,0.4,0.06,42659,International Aid,98,Geothermal,321930,yes,68,International,1923212,15658,936
Climate Education Program in UK #674,Climate Education Program,UK,Zero Emissions Initiative,105,2012,2017,0.08,0.24,22263,Private Sector,81,None,104079,yes,95,International,1033520,17524,884
Energy Efficiency Campaign in India #675,Energy Efficiency Campaign,India,Clean Energy Foundation,701,2021,2027,0.57,0.23,9173,International Aid,58,Solar,441237,yes,89,International,80408,36977,549
Green Infrastructure Development in China #676,Green Infrastructure Development,China,Climate Action Network,1846,2017,2031,0.3,0.88,52621,International Aid,74,Geothermal,155083,no,89,International,1285957,40562,759
Reforestation Initiative in Australia #677,Reforestation Initiative,Australia,Eco Innovation Lab,1370,2018,2032,0.4,0.58,44634,Private Sector,50,Wind,385777,no,64,National,1530822,17167,309
Emission Control Program in USA #678,Emission Control Program,USA,Earth Guardians,189,2014,2026,0.14,1,62686,Government,55,Wind,411679,yes,72,International,559197,23964,863
Emission Control Program in USA #679,Emission Control Program,USA,Green Growth Initiative,1114,2017,2027,0.76,0.31,64974,Private Sector,93,Wind,43863,yes,80,International,1773571,45413,929
Sustainable Agriculture Program in Brazil #680,Sustainable Agriculture Program,Brazil,Earth Guardians,1592,2019,2033,0.85,0.27,5355,International Aid,98,Solar,358289,yes,65,International,1205915,29584,449
Water Conservation Project in Canada #681,Water Conservation Project,Canada,Climate Action Network,1095,2024,2037,0.89,0.96,60045,International Aid,79,Bioenergy,127323,yes,97,International,1695536,26568,90
Emission Control Program in Japan #682,Emission Control Program,Japan,Zero Emissions Initiative,70,2017,2024,0.85,0.86,16827,Government,100,None,337342,yes,97,National,1595311,38225,464
